address,geo_lat,geo_lon
Москва,55.7540471,37.620405
Санкт-Петербург,59.9391313,30.3159004
Новосибирск,55.028191,82.9211489
Екатеринбург,56.8385216,60.6054911
Нижний Новгород,56.3240627,44.0053913
Казань,55.7943584,49.1114975
Самара,53.1950306,50.1069518
Омск,54.9848566,73.3674517
Челябинск,55.1602624,61.4008078
Ростов-на-Дону,47.2224566,39.718803
Уфа,54.734944,55.9578468
Волгоград,48.7070042,44.5170339
Пермь,58.0102583,56.2342034
Красноярск,56.0093879,92.8524806
Воронеж,51.6593332,39.1969229
Саратов,51.533557,46.034257
Краснодар,45.0401604,38.9759647
Тольятти,53.5205348,49.3894028
Барнаул,53.3479968,83.7798064
Ижевск,56.852738,53.2114896
Ульяновск,54.3079415,48.3748487
Владивосток,43.1164904,131.8823937
Ярославль,57.6215477,39.8977411
Иркутск,52.2864036,104.2807466
Тюмень,57.1529744,65.5344099
Махачкала,42.9849159,47.5047181
Хабаровск,48.4647258,135.0598942
Оренбург,51.7875092,55.1018828
Новокузнецк,53.794315,87.2142745
Кемерово,55.3910651,86.0467781
